RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type,Na_Mg_ratio,Ca_Si_ratio,Alkali_total,Heavy_minerals,Mg_Al_interaction,Na_Ca_interaction,log_Ba,log_Fe,Composition_score
1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0.0,0.0,1,3.0378612387836883,0.12190024906798204,13.700000000000001,0.0,4.939000000000001,119.35000000000001,0.0,0.0,99.82000000000001
1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0.0,0.0,1,3.858332261574372,0.10765846132739638,14.370000000000001,0.0,4.896000000000001,108.7587,0.0,0.0,99.89000000000001
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,1,3.8112665320375965,0.1065899423675854,13.92,0.0,5.467,105.2634,0.0,0.0,99.77999999999999
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.0,0.0,1,3.579944829283244,0.1132075456106935,13.780000000000001,0.0,4.7601,108.58620000000002,0.0,0.0,99.58999999999999
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.0,0.0,1,3.665744843716894,0.11042692788140494,13.82,0.0,4.4888,107.0889,0.0,0.0,99.82999999999998
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.0,0.26,1,3.54293530666612,0.11059339303010289,13.43,0.26,5.8482,103.2153,0.0,0.2311117209633866,99.96
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,1,3.6944434182101618,0.11177999573430024,13.88,0.0,4.104,108.661,0.0,0.0,99.88000000000001
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0.0,0.0,1,3.642658270731781,0.11250682533442348,13.72,0.0,3.7905,108.35600000000001,0.0,0.0,99.85999999999999
1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0,1,3.921786614026085,0.11514983192078482,14.6,0.0,4.9046,116.532,0.0,0.0,99.92999999999999
1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,1,3.61111010802497,0.11508425654083772,13.57,0.11,4.896000000000001,109.2,0.0,0.10436001532424286,100.02999999999999
1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0.0,0.24,1,3.6762995155203715,0.110519124173236,13.39,0.24,5.3976,102.90480000000001,0.0,0.2151113796169455,99.94
1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0.0,0.0,1,3.4972668040254633,0.1172442115156251,13.4,0.0,4.6482,109.56800000000001,0.0,0.0,99.9
1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0.0,0.24,1,3.7551009460347093,0.10985261858825576,13.57,0.24,4.802,103.68400000000001,0.0,0.2151113796169455,99.97
1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0.0,0.17,1,3.6123585358543435,0.11446523542596321,13.399999999999999,0.17,4.5212,107.7668,0.0,0.1570037488096647,99.99
1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0.0,0.0,1,3.512533840519821,0.11597762155849882,13.19,0.0,4.7029,107.185,0.0,0.0,99.88000000000001
1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0.0,0.0,1,3.6186430455810603,0.11455488647522002,13.39,0.0,4.3542,107.47590000000001,0.0,0.0,99.78999999999999
1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0.0,0.0,1,3.455039930506831,0.1189987673505845,13.29,0.0,4.257199999999999,110.31599999999999,0.0,0.0,99.93
1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0.0,0.0,1,3.7298691610729446,0.12822309237355534,14.51,0.0,3.4265000000000003,131.394,0.0,0.0,99.76000000000002
1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0.0,0.0,1,3.7265405558872504,0.12326677588371082,13.96,0.0,4.4014,123.57100000000001,0.0,0.0,99.88000000000001
1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0.0,0.07,1,3.6779650627217335,0.11604564669262138,13.559999999999999,0.07,5.9826,109.88879999999999,0.0,0.06765864847381486,100.03
1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0.0,0.19,1,3.611266588375609,0.11711340045204947,13.36,0.19,5.289499999999999,109.2264,0.0,0.17395330712343798,99.86
1.51966,14.77,3.75,0.29,72.02,0.03,9.0,0.0,0.0,1,3.9386656163558356,0.1249652856850141,14.799999999999999,0.0,1.0875,132.93,0.0,0.0,99.86
1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0.0,0.0,1,3.530385765086805,0.11952191070858756,13.37,0.0,4.6698,111.18599999999998,0.0,0.0,99.77000000000001
1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0.0,0.0,1,3.5882342890100034,0.1176390014018214,13.43,0.0,4.8195,110.03790000000001,0.0,0.0,99.96000000000001
1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0.0,0.0,1,3.822856050612557,0.11571722559070384,13.88,0.0,4.0249999999999995,112.7934,0.0,0.0,99.81
1.51764,12.98,3.54,1.21,73.0,0.65,8.53,0.0,0.0,1,3.666665630885415,0.11684931346781761,13.63,0.0,4.2834,110.7194,0.0,0.0,99.91000000000001
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,0.0,1,3.7959759206965744,0.11605176051690859,13.8,0.0,4.9068,111.36030000000001,0.0,0.0,99.76000000000002
1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0.0,0.0,1,3.6982747993463216,0.11541620871555025,13.43,0.0,4.6284,108.49409999999999,0.0,0.0,99.71000000000001
1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0.0,0.0,1,3.5681808044940895,0.1167464098872671,13.13,0.0,5.0336,107.2624,0.0,0.0,99.77000000000001
1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0.0,0.0,1,3.747849928982828,0.1165248405637546,13.68,0.0,4.4672,111.0492,0.0,0.0,99.8
1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0.0,0.14,1,3.553369788379273,0.1189107810767545,13.26,0.14,4.628,109.9285,0.0,0.1310282624064042,100.03
1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0.0,0.0,1,3.6685703804084624,0.11669168668361286,13.4,0.0,3.9899999999999998,109.78200000000001,0.0,0.0,99.86
1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,1,3.692527674561013,0.11730848133056762,13.459999999999999,0.31,4.2804,109.99600000000001,0.08617769624105241,0.19885085874516517,100.01
1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0.0,0.06,1,3.6224773422255496,0.11650088409182609,13.17,0.06,4.7886,107.47350000000002,0.0,0.05826890812397583,100.02
1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0.0,0.0,1,3.584744750072104,0.11994516627902445,13.26,0.0,4.743600000000001,111.0375,0.0,0.0,99.84
1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0.0,0.0,1,3.8521727964716526,0.11781688042594338,13.85,0.0,4.1745,113.89529999999999,0.0,0.0,99.82
1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0.0,1,3.9348430779481367,0.12226709201689051,14.4,0.11,4.6596,121.9542,0.10436001532424286,0.0,99.95000000000002
1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0.0,0.0,1,3.6609184882418138,0.11896929661500417,13.38,0.0,4.698,110.5832,0.0,0.0,99.85
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0,1,3.7198943141637923,0.13334262040765474,14.32,0.0,1.7953999999999999,135.9897,0.0,0.0,99.94999999999999
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0,1,3.7198943141637923,0.13334262040765474,14.32,0.0,1.7953999999999999,135.9897,0.0,0.0,99.94999999999999
1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0.0,0.0,1,3.6542846702043796,0.12008763357404308,13.43,0.0,3.9200000000000004,112.16829999999999,0.0,0.0,99.85
1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0.0,0.0,1,3.7163731823470227,0.11803278527277616,13.3,0.0,4.104,109.81440000000002,0.0,0.0,99.76
1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0.0,0.0,1,3.8967540127569285,0.11805937165943689,13.8,0.0,4.5087,113.4739,0.0,0.0,99.87
1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0.0,0.0,1,3.575519902208359,0.1357302099257217,13.9,0.0,2.7647999999999997,133.7302,0.0,0.0,99.96000000000001
1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0.0,0.3,1,3.7113691803588393,0.12008224646905762,13.35,0.3,4.0817,111.5148,0.0,0.26236426446749106,99.98000000000002
1.519,13.49,3.48,1.35,71.95,0.55,9.0,0.0,0.0,1,3.8764356676909,0.12508686414055784,14.040000000000001,0.0,4.698,121.41,0.0,0.0,99.82000000000001
1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0.0,0.16,1,3.913945426128953,0.12142464079449064,13.76,0.16,3.9766,116.4677,0.0,0.14842000511827322,100.01999999999998
1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0.0,0.1,1,3.7810800591675515,0.13720832559440654,14.01,0.1,2.627,137.3818,0.0,0.09531017980432495,99.91
1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0.0,0.0,1,3.503977850403753,0.1391859961218781,13.340000000000002,0.0,2.9783,132.3642,0.0,0.0,99.90999999999998
1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0.0,0.0,1,4.053730133214885,0.12361265089327622,14.17,0.0,4.1205,120.9978,0.0,0.0,99.74
1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0.0,0.16,1,3.6881710515669215,0.1402090572793163,13.81,0.16,1.8972000000000002,138.0232,0.0,0.14842000511827322,100.01
1.51926,13.2,3.33,1.28,72.36,0.6,9.14,0.0,0.11,1,3.9639627735847522,0.1263128782986059,13.799999999999999,0.11,4.2624,120.648,0.0,0.10436001532424286,100.02
1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0.0,0.0,1,4.679440878243596,0.12397034426180197,13.98,0.0,3.4153,121.27289999999999,0.0,0.0,99.91000000000001
1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0.0,0.0,1,4.626758934239812,0.12450240048726974,13.690000000000001,0.0,3.6351999999999998,119.17980000000001,0.0,0.0,99.72999999999999
1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0.0,0.09,1,4.701065942681159,0.12359550392442444,13.72,0.09,3.6249000000000002,119.1542,0.0,0.08617769624105241,99.91000000000001
1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0.0,0.24,1,4.5940942457216805,0.12293079887475172,13.01,0.24,3.4959000000000002,112.797,0.0,0.2151113796169455,100.01
1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0.0,0.31,1,3.7435147713213914,0.11441490662626874,13.61,0.31,3.8864000000000005,108.4665,0.0,0.2700271372130602,99.84
1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0.0,0.0,1,3.6982747993463216,0.11555860019796298,13.469999999999999,0.0,4.4892,108.49409999999999,0.0,0.0,99.62
1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0.0,0.0,1,3.6042771111558523,0.11001506905034841,14.07,0.0,4.3758,108.2444,0.0,0.0,100.0
1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0.0,0.11,1,3.658468945773512,0.11361450592643897,13.96,0.11,4.3554,110.7353,0.0,0.10436001532424286,99.97999999999999
1.51905,13.6,3.62,1.11,72.64,0.14,8.76,0.0,0.0,1,3.7569050395289945,0.12059471199621817,13.74,0.0,4.0182,119.136,0.0,0.0,99.87
1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0.0,1,3.8575408219159715,0.1208867802441888,13.93,0.69,4.7256,119.73270000000001,0.524728528934982,0.0,99.91000000000001
1.52172,13.51,3.86,0.88,71.79,0.23,9.54,0.0,0.11,1,3.4999990932644836,0.13288758694960875,13.74,0.11,3.3968,128.88539999999998,0.0,0.10436001532424286,99.92
1.52227,14.17,3.81,0.78,71.35,0.0,9.69,0.0,0.0,1,3.7191591288296246,0.1358093884259371,14.17,0.0,2.9718,137.3073,0.0,0.0,99.8
1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0.0,0.07,1,3.6042771111558523,0.13345368513465233,13.66,0.07,3.366,129.5428,0.0,0.06765864847381486,99.99
1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0.0,0.0,1,3.8133694113177126,0.13062812492178816,13.78,0.0,4.0208,128.686,0.0,0.0,99.85000000000001
1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0.0,0.17,1,3.575341486207812,0.13638881007492648,13.24,0.17,3.1755,128.5425,0.0,0.1570037488096647,99.99999999999999
1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0.0,0.17,1,3.575341486207812,0.13620021935563859,13.24,0.17,3.1755,128.5425,0.0,0.1570037488096647,100.09999999999998
1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0.0,0.16,1,3.6648034455856293,0.13601107844860003,13.35,0.16,3.222,128.8384,0.0,0.14842000511827322,100.00999999999999
1.523,13.31,3.58,0.82,71.99,0.12,10.17,0.0,0.03,1,3.717876056459202,0.1412696188183134,13.43,0.03,2.9356,135.36270000000002,0.0,0.029558802241544425,100.02
1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0.0,0.12,2,4.049045218243809,0.1024071225489478,15.02,0.12,6.3858,109.3696,0.0,0.11332868530700327,99.78
1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0.0,0.32,2,3.52454689288194,0.11561978716481676,14.18,0.32,4.9149,113.4848,0.0,0.2776317365982795,99.91999999999999
1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0.0,0.0,2,3.646238538652218,0.10711354162635375,13.76,0.0,5.456799999999999,102.4947,0.0,0.0,99.8
1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0.0,0.0,2,3.7366936311782544,0.108275008806436,13.95,0.0,5.6049,105.2526,0.0,0.0,99.85000000000001
1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0.0,0.0,2,3.6573023434543974,0.10805635196202501,13.74,0.0,5.4824,102.858,0.0,0.0,99.85
1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0.0,0.0,2,3.6368704924942756,0.10886214293131642,13.709999999999999,0.0,5.4058,103.6392,0.0,0.0,99.88
1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0.0,0.0,2,3.722990658451341,0.11092692207588171,14.1,0.0,5.5594,107.9232,0.0,0.0,99.67
1.51627,13.0,3.58,1.54,72.83,0.61,8.04,0.0,0.0,2,3.631283901876005,0.1103940668626381,13.61,0.0,5.5132,104.51999999999998,0.0,0.0,99.6
1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0.0,0.14,2,3.9545443310953603,0.10894621145792796,14.29,0.14,4.4,110.5248,0.0,0.1310282624064042,100.02
1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0.0,0.0,2,3.642044419873744,0.1093878656411218,13.51,0.0,6.688,102.1754,0.0,0.0,99.75999999999999
1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0.0,0.0,2,3.6534080530090756,0.10968896078049875,13.549999999999999,0.0,7.462400000000001,102.49419999999999,0.0,0.0,99.82
1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0.0,0.0,2,3.8405785969337396,0.10742107274263944,13.86,0.0,4.9335,104.14500000000001,0.0,0.0,99.77
1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0.0,0.0,2,3.777463724658106,0.11124845335464285,14.09,0.0,4.4375,108.621,0.0,0.0,99.80000000000001
1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0.0,0.09,2,3.7187489435372316,0.11047069973280225,13.77,0.09,5.456,105.37450000000001,0.0,0.08617769624105241,99.85000000000001
1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0.0,0.0,2,4.611648992993853,0.09795240594974536,15.35,0.0,6.4272,100.89,0.0,0.0,99.88
1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0.0,0.0,2,3.731842533004879,0.11289878832647432,13.809999999999999,0.0,5.3342,109.68560000000001,0.0,0.0,99.81
1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0.0,0.0,2,3.7936951880529546,0.1096245718822584,13.620000000000001,0.0,5.1303,106.3172,0.0,0.0,99.86
1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0.0,0.1,2,3.8395404471230807,0.11121816777401007,14.07,0.1,5.3048,108.272,0.0,0.09531017980432495,99.91
1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0.0,0.0,2,3.717141795102344,0.1114007393140247,13.61,0.0,5.18,105.64119999999998,0.0,0.0,99.6
1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0.0,0.09,2,3.6063208027813785,0.11033729195224236,13.180000000000001,0.09,6.5076,101.40400000000001,0.0,0.08617769624105241,99.93
1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0.0,0.22,2,3.457218326946971,0.12396236685165515,13.57,0.22,4.151400000000001,115.8528,0.0,0.19885085874516517,99.88
1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0.0,0.0,2,3.7499989098840376,0.11319463299760972,13.34,0.0,4.9879999999999995,106.68299999999999,0.0,0.0,99.55999999999999
1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0.0,0.19,2,3.8475062030773595,0.11452361296036564,13.19,0.19,5.3878,110.0768,0.0,0.17395330712343798,100.02
1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0.0,0.0,2,3.9640706694399195,0.11244869887211084,13.63,0.0,4.9098,108.8328,0.0,0.0,99.75999999999999
1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0.0,0.0,2,3.8168156706259246,0.11244541331269906,13.38,0.0,4.9617,104.7304,0.0,0.0,99.72
1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0.0,0.0,2,3.8950425961974933,0.11901466760289692,13.87,0.0,4.9049,114.89599999999999,0.0,0.0,99.59
1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0.0,0.15,2,3.5966840893137872,0.1262095641939513,13.66,0.15,3.8372,118.8726,0.0,0.13976194237515863,99.96000000000001
1.51743,12.2,3.25,1.16,73.55,0.62,8.9,0.0,0.24,2,3.753844998816923,0.12100611664165717,12.819999999999999,0.24,3.7699999999999996,108.58,0.0,0.2151113796169455,99.92
1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0.0,0.0,2,4.399304028019435,0.11665072918111284,13.4,0.0,4.924799999999999,108.20179999999999,0.0,0.0,99.74000000000001
1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0.0,2,4.378376899196994,0.12054305923555869,13.56,0.14,4.2328,113.91839999999999,0.1310282624064042,0.0,99.8
1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,2,4.4736826408131085,0.11996724280104759,13.32,0.33,4.104,112.07249999999999,0.10436001532424286,0.19885085874516517,99.99999999999999
1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0.0,0.0,2,4.540439507191357,0.1266639203147534,13.049999999999999,0.0,4.4336,113.9905,0.0,0.0,99.50000000000001
1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0.0,0.2,2,4.572462111426771,0.12762498133552388,12.969999999999999,0.2,2.2907999999999995,118.8804,0.0,0.1823215567939546,99.99
1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0.0,0.0,2,4.380950990174289,0.16494260783700432,13.88,0.0,2.079,160.632,0.0,0.0,99.89999999999999
1.5241,13.83,2.9,1.17,71.15,0.08,10.79,0.0,0.0,2,4.768963872771078,0.15165143848697907,13.91,0.0,3.393,149.2257,0.0,0.0,99.92000000000002
1.52475,11.45,0.0,1.88,72.19,0.81,13.24,0.0,0.34,2,11450000.0,0.18340490118569192,12.26,0.34,0.0,151.59799999999998,0.0,0.29266961396282004,99.91
